,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
12,2023-03-09,185.3884525200718,159.42963255297786,205.92760740221186,185.3884525200718,185.3884525200718,-3.3399515940593067,-3.3399515940593067,-3.3399515940593067,-3.3399515940593067,-3.3399515940593067,-3.3399515940593067,0.0,0.0,0.0,182.0485009260125
13,2023-03-10,185.45848255379002,158.06171767539388,207.0705049006663,185.45848255379002,185.45848255379002,-3.140213277920417,-3.140213277920417,-3.140213277920417,-3.140213277920417,-3.140213277920417,-3.140213277920417,0.0,0.0,0.0,182.3182692758696
14,2023-03-13,185.66857265494457,157.21080781180345,204.82538185138264,185.66857265494457,185.66857265494457,-3.5589341468205284,-3.5589341468205284,-3.5589341468205284,-3.5589341468205284,-3.5589341468205284,-3.5589341468205284,0.0,0.0,0.0,182.10963850812405
15,2023-03-14,185.73860268866278,161.10447649993705,208.28334869061277,185.73860268866278,185.73860268866278,-0.7246710724204511,-0.7246710724204511,-0.7246710724204511,-0.7246710724204511,-0.7246710724204511,-0.7246710724204511,0.0,0.0,0.0,185.01393161624233
16,2023-03-15,185.80863272238096,158.70397742893857,208.06076078665362,185.80863272238096,185.80863272238096,-1.6802832519891517,-1.6802832519891517,-1.6802832519891517,-1.6802832519891517,-1.6802832519891517,-1.6802832519891517,0.0,0.0,0.0,184.1283494703918
17,2023-03-16,185.8786627563782,158.53507080556042,205.05345446825905,185.8786627563782,185.8786627563782,-3.3399515940564313,-3.3399515940564313,-3.3399515940564313,-3.3399515940564313,-3.3399515940564313,-3.3399515940564313,0.0,0.0,0.0,182.53871116232176
18,2023-03-17,185.94869279037536,158.5071361916197,206.2129148157215,185.94869279037536,185.94869279037536,-3.1402132779124554,-3.1402132779124554,-3.1402132779124554,-3.1402132779124554,-3.1402132779124554,-3.1402132779124554,0.0,0.0,0.0,182.8084795124629
19,2023-03-20,186.15878289236704,158.63470824300458,206.7607470298222,186.15878289236704,186.15878289236704,-3.558934146831805,-3.558934146831805,-3.558934146831805,-3.558934146831805,-3.558934146831805,-3.558934146831805,0.0,0.0,0.0,182.59984874553524
20,2023-03-21,186.2288129263642,163.73566772951634,209.33001275376776,186.2288129263642,186.2288129263642,-0.7246710724172835,-0.7246710724172835,-0.7246710724172835,-0.7246710724172835,-0.7246710724172835,-0.7246710724172835,0.0,0.0,0.0,185.50414185394692
21,2023-03-22,186.29884296036144,161.32176151256803,208.45163159813103,186.29884296036144,186.29884296036144,-1.6802832519824213,-1.6802832519824213,-1.6802832519824213,-1.6802832519824213,-1.6802832519824213,-1.6802832519824213,0.0,0.0,0.0,184.61855970837902
